Activity,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
Week 23 2017 06/02/2017 - 06/08/2017,"15,366","11,557","6,244","4,614","2,990","1,624","16,305","13,682,359","7,968,876","5,713,483","164,246","164,246",0,307,"976,100"
Week 24 2017 06/09/2017 - 06/15/2017,"15,205","11,466","6,270","4,706","3,172","1,534","15,639","13,402,738","7,793,997","5,608,741","159,764","159,764",0,249,"727,500"
Week 25 2017 06/16/2017 - 06/22/2017,"15,513","11,687","6,399","4,766","3,206","1,560","16,329","13,671,349","7,931,274","5,740,075","161,389","161,389",0,244,"728,000"
Week 26 2017 06/23/2017 - 06/29/2017,"15,904","11,789","6,433","4,794","3,205","1,589","16,391","14,206,860","8,033,280","6,173,580","164,287","164,287",0,341,"990,500"
Week 27 2017 06/30/2017 - 07/06/2017,"16,224","11,999","6,743","4,998","3,344","1,654","17,455","14,221,186","7,883,863","6,337,323","157,647","157,647",0,444,"1,460,100"
Week 28 2017 07/07/2017 - 07/13/2017,"17,023","12,295","6,795","5,124","3,321","1,803","16,714","15,342,182","8,249,388","7,092,794","170,542","170,542",0,359,"1,659,100"
Week 29 2017 07/14/2017 - 07/20/2017,"18,470","13,167","7,465","5,761","3,767","1,994","17,038","16,506,486","8,552,787","7,953,699","170,956","170,956",0,315,"1,176,900"
Week 30 2017 07/21/2017 - 07/27/2017,"19,258","13,496","7,575","5,829","3,722","2,107","17,458","17,524,245","8,880,737","8,643,508","184,594","184,594",0,"1,328","4,704,000"
Week 31 2017 07/28/2017 - 08/03/2017,"19,509","13,615","7,696","5,970","3,746","2,224","17,256","17,718,971","8,879,330","8,839,641","189,825","189,825",0,413,"1,386,800"
Week 32 2017 08/04/2017 - 08/10/2017,"20,427","15,011","8,680","6,559","4,269","2,290","21,213","17,620,967","9,496,454","8,124,513","183,792","183,792",0,257,"886,900"
Week 33 2017 08/11/2017 - 08/17/2017,"20,496","15,712","9,251","7,252","4,853","2,399","19,995","16,867,314","9,690,474","7,176,840","189,269","189,269",0,365,"1,065,900"
Week 34 2017 08/18/2017 - 08/24/2017,"20,768","15,780","9,218","7,213","4,599","2,614","20,045","17,325,595","9,843,395","7,482,200","203,821","203,821",0,264,"1,126,400"
Week 35 2017 08/25/2017 - 08/31/2017,"21,344","16,181","9,419","7,385","4,688","2,697","20,339","17,888,049","10,144,164","7,743,885","211,275","211,275",0,279,"693,500"
Week 36 2017 09/01/2017 - 09/07/2017,"23,243","17,665","10,047","7,821","4,809","3,012","22,261","19,794,701","11,426,955","8,367,746","221,799","221,799",0,335,"1,188,800"
Week 37 2017 09/08/2017 - 09/14/2017,"25,922","19,573","11,502","8,963","5,545","3,418","25,395","21,628,856","12,105,928","9,522,928","246,658","246,658",0,417,"1,421,300"
Week 38 2017 09/15/2017 - 09/21/2017,"28,412","21,631","12,599","9,882","6,027","3,855","27,168","23,719,489","13,547,181","10,172,308","273,199","273,199",0,233,"787,100"
Week 39 2017 09/22/2017 - 09/28/2017,"31,874","24,435","14,726","11,676","7,430","4,246","30,499","25,722,120","14,563,784","11,158,336","300,762","300,762",0,240,"768,000"
Week 40 2017 09/29/2017 - 10/05/2017,"50,627","42,204","31,329","27,983","22,129","5,854","33,466","28,945,844","16,312,093","12,633,751","344,678","344,678",0,269,"1,109,400"
Week 41 2017 10/06/2017 - 10/12/2017,"105,604","95,944","83,490","79,218","66,317","12,901","42,718","33,171,832","18,681,008","14,490,824","374,907","374,907",0,251,"1,004,500"
Week 42 2017 10/13/2017 - 10/19/2017,"120,269","109,128","94,600","90,020","79,532","10,488","45,794","38,504,241","21,792,303","16,711,938","475,645","475,645",0,366,"1,559,800"
Week 43 2017 10/20/2017 - 10/26/2017,"166,571","151,493","133,470","126,069","101,031","25,038","74,015","49,651,407","27,034,026","22,617,381","565,982","565,982",0,374,"1,742,700"
Week 44 2017 10/27/2017 - 11/02/2017,"237,208","214,872","180,651","171,017","141,157","29,860","96,340","84,835,825","51,331,161","33,504,664","995,075","995,075",0,"3,244","15,917,400"
Week 45 2017 11/03/2017 - 11/09/2017,"418,915","377,354","313,893","297,617","253,706","43,911","162,758","157,533,500","95,190,828","62,342,672","1,754,793","1,754,793",0,"21,379","64,437,400"
Week 46 2017 11/10/2017 - 11/16/2017,"552,598","497,489","401,413","378,459","325,953","52,506","229,541","226,777,029","144,113,156","82,663,873","2,703,750","2,703,750",0,"76,674","384,227,300"
Week 47 2017 11/17/2017 - 11/23/2017,"823,301","744,333","576,099","539,040","416,785","122,255","370,585","370,803,674","252,351,918","118,451,756","4,194,313","4,194,313",0,"257,419","1,497,787,900"
Week 48 2017 11/24/2017 - 11/30/2017,"1,235,124","1,119,024","803,482","747,570","576,210","171,360","559,122","647,463,461","473,313,533","174,149,928","8,693,554","8,693,554",0,"469,733","2,300,038,800"
Week 49 2017 12/01/2017 - 12/07/2017,"1,504,865","1,330,871","935,546","863,221","670,303","192,918","723,256","853,977,162","592,987,338","260,989,824","13,288,044","13,288,044",0,"473,848","2,262,384,700"
Week 50 2017 12/08/2017 - 12/14/2017,"1,562,129","1,373,273","919,544","845,212","654,882","190,330","743,322","963,877,156","680,592,131","283,285,025","15,788,034","15,788,034",0,"507,167","2,406,846,200"
Week 51 2017 12/15/2017 - 12/21/2017,"1,708,615","1,485,638","977,883","896,457","716,953","179,504","814,263","1,096,098,269","761,632,917","334,465,352","18,181,974","18,181,974",0,"570,150","2,659,577,700"
Week 52 2017 12/22/2017 - 12/28/2017,"1,499,170","1,264,401","654,197","585,936","417,844","168,092","682,605","1,267,460,060","915,306,754","352,153,306","17,421,881","17,421,881",0,"581,281","2,434,272,200"
Week 1 2018 12/29/2017 - 01/04/2018,"176,646","145,524","93,741","84,609","72,750","11,859","91,312","124,358,301","77,675,365","46,682,936","21,851,219","21,851,219",0,"7,495","32,885,300"
Week 2 2018 01/05/2018 - 01/11/2018,"76,582","61,855","38,927","35,173","30,233","4,940","37,544","56,482,116","34,392,126","22,089,990","19,075,663","19,075,663",0,669,"3,023,600"
Week 3 2018 01/12/2018 - 01/18/2018,"48,053","36,330","20,006","17,270","14,065","3,205","27,359","42,070,201","24,485,948","17,584,253","12,262,437","12,262,437",0,417,"1,390,200"
Week 4 2018 01/19/2018 - 01/25/2018,"35,624","27,509","13,849","11,629","9,210","2,419","22,203","32,661,948","20,489,371","12,172,577","9,823,384","9,823,384",0,367,"851,500"
Week 5 2018 01/26/2018 - 02/01/2018,"31,493","24,110","11,888","9,919","7,811","2,108","19,686","29,407,807","18,333,937","11,073,870","8,403,511","8,403,511",0,309,"885,300"
Week 6 2018 02/02/2018 - 02/08/2018,"27,612","20,880","9,278","7,566","5,596","1,970","17,123","27,500,900","17,402,638","10,098,262","7,430,412","7,430,412",0,276,"790,400"
Week 7 2018 02/09/2018 - 02/15/2018,"26,000","19,882","9,254","7,456","5,683","1,773","17,982","25,117,719","15,942,157","9,175,562","6,783,782","6,783,782",0,319,"990,900"
Week 8 2018 02/16/2018 - 02/22/2018,"25,232","19,335","9,180","7,417","5,650","1,767","17,632","24,077,641","15,232,463","8,845,178","6,323,188","6,323,188",0,294,"847,500"
Week 9 2018 02/23/2018 - 03/01/2018,"24,278","18,775","8,829","6,970","5,248","1,722","18,595","23,173,724","14,919,213","8,254,511","6,260,426","6,260,426",0,314,"925,700"
Week 10 2018 03/02/2018 - 03/08/2018,"23,229","17,939","8,253","6,586","4,659","1,927","16,662","22,464,916","14,529,808","7,935,108","6,201,995","6,201,995",0,318,"739,500"
Week 11 2018 03/09/2018 - 03/15/2018,"22,516","17,279","7,814","6,231","4,470","1,761","15,826","22,052,564","14,197,189","7,855,375","5,787,737","5,787,737",0,270,"697,300"
Week 12 2018 03/16/2018 - 03/22/2018,"22,540","17,250","7,890","6,321","4,543","1,778","15,689","21,975,173","14,039,751","7,935,422","5,749,789","5,749,789",0,271,"765,100"
Week 13 2018 03/23/2018 - 03/29/2018,"21,720","16,604","7,354","5,753","4,129","1,624","16,013","21,549,396","13,875,421","7,673,975","5,726,560","5,726,560",0,225,"594,100"
Week 14 2018 03/30/2018 - 04/05/2018,"22,011","16,820","7,651","5,944","3,932","2,012","17,064","21,540,699","13,754,510","7,786,189","5,566,985","5,566,985",0,322,"1,386,300"
Week 15 2018 04/06/2018 - 04/12/2018,"20,916","15,965","7,183","5,771","4,248","1,523","14,120","20,599,842","13,172,902","7,426,940","5,553,974","5,553,974",0,234,"610,300"
Week 16 2018 04/13/2018 - 04/19/2018,"21,019","15,780","7,014","5,643","4,169","1,474","13,712","21,006,166","13,148,080","7,858,086","5,560,033","5,560,033",0,274,"674,100"
Week 17 2018 04/20/2018 - 04/26/2018,"19,836","15,011","6,420","5,165","3,784","1,381","12,547","20,123,571","12,887,076","7,236,495","5,124,680","5,124,680",0,227,"584,200"
Week 18 2018 04/27/2018 - 05/03/2018,"19,112","14,635","6,135","4,959","3,615","1,344","11,756","19,466,781","12,750,825","6,715,956","5,084,742","5,084,742",0,277,"859,700"
Week 19 2018 05/04/2018 - 05/10/2018,"18,714","14,388","5,758","4,623","3,324","1,299","11,345","19,433,743","12,944,437","6,489,306","4,778,538","4,778,538",0,248,"524,700"
Week 20 2018 05/11/2018 - 05/17/2018,"19,051","14,717","5,942","4,730","3,176","1,554","12,113","19,663,343","13,163,619","6,499,724","4,806,038","4,806,038",0,255,"627,900"
Week 21 2018 05/18/2018 - 05/24/2018,"18,527","14,085","5,469","4,257","2,806","1,451","12,122","19,586,462","12,924,185","6,662,277","4,726,698","4,726,698",0,250,"611,400"
Week 22 2018 05/25/2018 - 05/31/2018,"17,996","13,517","5,544","4,420","2,798","1,622","11,241","18,678,939","11,959,857","6,719,082","4,427,083","4,427,083",0,302,"838,200"
Week 23 2018 06/01/2018 - 06/07/2018,"18,599","13,720","5,739","4,601","3,098","1,503","11,372","19,289,685","11,971,834","7,317,851","4,624,160","4,624,160",0,231,"467,000"
Week 24 2018 06/08/2018 - 06/14/2018,"18,493","13,821","5,860","4,708","3,209","1,499","11,514","18,948,459","11,940,293","7,008,166","4,022,083","4,022,083",0,217,"561,600"
Week 25 2018 06/15/2018 - 06/21/2018,"17,534","13,156","5,515","4,342","2,822","1,520","11,725","18,029,291","11,461,443","6,567,848","3,215,275","3,215,275",0,207,"475,300"
Week 26 2018 06/22/2018 - 06/28/2018,"17,745","13,620","5,645","4,439","2,924","1,515","12,069","18,150,027","11,962,518","6,187,509","4,435,139","4,435,139",0,337,"2,006,100"
Week 27 2018 06/29/2018 - 07/05/2018,"16,364","14,687","6,086","4,788","3,239","1,549","12,983","17,936,851","11,650,493","6,286,358","4,249,710","4,249,710",0,239,"669,900"
Week 28 2018 07/06/2018 - 07/12/2018,"16,989","15,315","6,526","5,304","3,488","1,816","12,223","18,202,453","11,924,214","6,278,239","4,595,200","4,595,200",0,256,"604,300"
Week 29 2018 07/13/2018 - 07/19/2018,"17,818","15,814","6,636","5,327","3,532","1,795","13,091","19,969,098","12,453,747","7,515,351","4,928,673","4,928,673",0,331,"766,900"
Week 30 2018 07/20/2018 - 07/26/2018,"19,591","17,496","7,697","6,222","4,294","1,928","14,748","21,157,188","13,301,266","7,855,922","5,434,789","5,434,789",0,802,"3,932,100"
Week 31 2018 07/27/2018 - 08/02/2018,"18,828","16,755","7,062","5,684","3,694","1,990","13,781","20,952,510","13,178,634","7,773,876","5,555,450","5,555,450",0,"1,190","3,083,100"
Week 32 2018 08/03/2018 - 08/09/2018,"18,962","16,821","7,360","6,012","3,977","2,035","13,477","20,931,889","12,905,746","8,026,143","5,450,962","5,450,962",0,231,"679,800"
Week 33 2018 08/10/2018 - 08/16/2018,"19,928","17,704","7,598","6,179","3,945","2,234","14,189","22,107,977","13,771,045","8,336,932","5,698,558","5,698,558",0,238,"640,700"
Week 34 2018 08/17/2018 - 08/23/2018,"20,954","18,594","8,124","6,606","4,133","2,473","15,175","23,154,924","14,305,512","8,849,412","6,122,187","6,122,187",0,215,"716,000"
Week 35 2018 08/24/2018 - 08/30/2018,"21,997","19,633","8,719","7,157","4,632","2,525","15,621","23,779,181","14,913,987","8,865,194","6,475,995","6,475,995",0,191,"468,900"
Week 36 2018 08/31/2018 - 09/06/2018,"23,124","20,560","9,217","7,578","4,728","2,850","16,385","25,164,320","15,550,440","9,613,880","6,568,845","6,568,845",0,327,"1,039,100"
Week 37 2018 09/07/2018 - 09/13/2018,"26,035","23,256","10,543","8,702","5,590","3,112","18,410","27,913,037","17,491,510","10,421,527","7,829,125","7,829,125",0,254,"769,300"
Week 38 2018 09/14/2018 - 09/20/2018,"28,549","25,676","12,242","10,296","6,175","4,121","19,459","29,308,773","18,536,218","10,772,555","8,277,134","8,277,134",0,300,"1,148,800"
Week 39 2018 09/21/2018 - 09/27/2018,"32,895","29,641","14,454","12,247","7,681","4,566","21,991","33,208,496","21,006,173","12,202,323","9,371,032","9,371,032",0,487,"1,402,000"
Week 40 2018 09/28/2018 - 10/04/2018,"36,728","33,530","16,663","14,136","8,995","5,141","25,272","35,410,595","23,418,410","11,992,185","10,571,104","10,571,104",0,241,"759,300"
Week 41 2018 10/05/2018 - 10/11/2018,"43,410","39,975","20,551","17,837","11,830","6,007","27,138","39,801,160","26,919,519","12,881,641","11,971,961","11,971,961",0,240,"878,200"
Week 42 2018 10/12/2018 - 10/18/2018,"66,785","62,642","37,481","34,007","25,731","8,276","34,740","50,394,654","34,857,995","15,536,659","15,893,296","15,893,296",0,279,"1,019,200"
Week 43 2018 10/19/2018 - 10/25/2018,"92,967","87,948","59,201","55,024","40,356","14,668","41,770","58,618,469","39,797,326","18,821,143","18,527,314","18,527,314",0,360,"1,834,200"
Week 44 2018 10/26/2018 - 11/01/2018,"201,335","194,806","147,306","139,814","105,436","34,378","74,912","89,518,656","65,035,347","24,483,309","27,041,968","27,041,968",0,"3,861","16,517,500"
Week 45 2018 11/02/2018 - 11/08/2018,"323,603","312,669","210,393","198,112","160,232","37,880","122,815","181,677,673","140,676,605","41,001,068","60,083,751","60,083,751",0,"28,307","94,213,300"
Week 46 2018 11/09/2018 - 11/15/2018,"474,439","457,183","273,510","255,419","206,883","48,536","180,909","314,566,748","249,855,407","64,711,341","112,751,842","112,751,842",0,"92,580","515,200,200"
Week 47 2018 11/16/2018 - 11/22/2018,"739,571","715,759","394,728","367,655","290,945","76,710","270,727","518,240,815","428,943,748","89,297,067","194,875,169","194,875,169",0,"263,254","1,434,443,200"
Week 48 2018 11/23/2018 - 11/29/2018,"1,186,413","1,146,752","549,993","508,467","395,514","112,953","415,257","941,458,509","792,730,676","148,727,833","376,019,211","376,019,211",0,"464,729","2,218,658,800"
Week 49 2018 11/30/2018 - 12/06/2018,"1,504,493","1,449,842","669,142","613,603","460,940","152,663","555,395","1,241,045,930","1,036,103,652","204,942,278","505,393,504","505,393,504",0,"463,272","2,224,331,800"
Week 50 2018 12/07/2018 - 12/13/2018,"1,650,904","1,585,295","686,820","627,470","475,911","151,559","592,030","1,431,947,774","1,185,915,037","246,032,737","569,259,376","569,259,376",0,"504,842","2,361,495,700"
Week 51 2018 12/14/2018 - 12/20/2018,"1,838,990","1,768,505","728,535","666,500","517,457","149,043","620,348","1,630,227,604","1,365,909,327","264,318,277","628,382,968","628,382,968",0,"557,235","2,539,832,600"
Week 52 2018 12/21/2018 - 12/27/2018,"2,125,901","2,019,014","578,998","520,136","362,383","157,753","588,626","2,272,693,843","1,871,867,504","400,826,339","670,984,783","670,984,783",0,"676,527","2,955,220,500"
Week 53 2018 12/28/2018 - 01/03/2019,"258,000","243,672","87,221","79,501","68,046","11,455","77,205","254,974,045","201,243,419","53,730,626","59,442,449","59,442,449",0,"14,506","112,771,900"
Week 1 2019 01/04/2019 - 01/10/2019,"79,030","72,259","35,691","32,492","27,875","4,617","31,280","73,791,347","48,397,332","25,394,015","18,247,716","18,247,716",0,"1,322","3,561,400"
Week 2 2019 01/11/2019 - 01/17/2019,"50,682","45,104","19,486","17,274","13,371","3,903","21,995","55,024,745","34,106,810","20,917,935","11,018,787","11,018,787",0,"1,058","2,416,800"
Week 3 2019 01/18/2019 - 01/24/2019,"40,414","35,220","14,576","12,788","9,947","2,841","17,870","47,097,810","27,617,766","19,480,044","8,786,417","8,786,417",0,839,"2,014,300"
Week 4 2019 01/25/2019 - 01/31/2019,"35,508","30,727","12,430","10,845","8,920","1,925","15,814","42,456,750","24,527,141","17,929,609","7,486,044","7,486,044",0,752,"2,142,200"
Week 5 2019 02/01/2019 - 02/07/2019,"30,880","26,349","9,754","8,366","6,557","1,809","13,883","39,234,886","22,246,839","16,988,047","6,606,280","6,606,280",0,785,"2,290,200"
Week 6 2019 02/08/2019 - 02/14/2019,"29,328","24,614","8,543","7,171","5,387","1,784","13,704","39,240,722","21,564,025","17,676,697","6,256,116","6,256,116",0,640,"1,876,200"
Week 7 2019 02/15/2019 - 02/21/2019,"27,406","22,954","7,848","6,478","4,791","1,687","13,696","36,878,739","20,184,862","16,693,877","5,761,563","5,761,563",0,691,"2,002,000"
Week 8 2019 02/22/2019 - 02/28/2019,"26,037","22,227","7,680","6,374","4,818","1,556","13,040","33,713,526","19,426,065","14,287,461","5,545,184","5,545,184",0,732,"2,328,300"
Week 9 2019 03/01/2019 - 03/07/2019,"25,114","21,505","7,124","5,891","4,410","1,481","12,318","32,730,517","19,196,576","13,533,941","5,375,911","5,375,911",0,674,"2,274,100"
Week 10 2019 03/08/2019 - 03/14/2019,"23,666","20,376","6,612","5,465","4,034","1,431","11,449","30,729,270","18,391,586","12,337,684","5,096,791","5,096,791",0,616,"1,884,100"
Week 11 2019 03/15/2019 - 03/21/2019,"23,585","20,355","6,350","5,198","3,856","1,342","11,500","30,772,273","18,658,926","12,113,347","4,917,625","4,917,625",0,637,"1,874,500"
Week 12 2019 03/22/2019 - 03/28/2019,"22,159","19,006","5,930","4,884","3,722","1,162","10,437","29,302,709","17,479,136","11,823,573","4,921,423","4,921,423",0,598,"2,045,700"
Week 13 2019 03/29/2019 - 04/04/2019,"22,225","18,724","5,929","4,921","3,657","1,264","10,069","30,230,563","17,102,730","13,127,833","4,735,357","4,735,357",0,573,"1,970,700"
Week 14 2019 04/05/2019 - 04/11/2019,"22,356","18,356","5,726","4,734","3,523","1,211","9,918","31,822,683","16,820,979","15,001,704","4,619,226","4,619,226",0,532,"1,563,600"
Week 15 2019 04/12/2019 - 04/18/2019,"21,826","18,089","5,550","4,545","3,320","1,225","10,048","30,729,747","16,718,444","14,011,303","4,554,811","4,554,811",0,567,"1,891,200"
Week 16 2019 04/19/2019 - 04/25/2019,"22,589","19,043","5,622","4,554","3,225","1,329","10,660","31,102,072","17,802,980","13,299,092","4,534,571","4,534,571",0,574,"2,012,500"
Week 17 2019 04/26/2019 - 05/02/2019,"21,566","17,768","5,646","4,670","3,413","1,257","9,762","30,412,128","16,168,495","14,243,633","4,503,694","4,503,694",0,631,"2,043,900"
Week 18 2019 05/03/2019 - 05/09/2019,"20,712","17,335","5,294","4,373","3,188","1,185","9,181","28,738,501","16,072,258","12,666,243","4,556,146","4,556,146",0,587,"1,962,000"
Week 19 2019 05/10/2019 - 05/16/2019,"20,592","17,150","5,199","4,259","3,059","1,200","9,381","28,864,662","15,955,919","12,908,743","4,512,568","4,512,568",0,582,"1,875,100"
Week 20 2019 05/17/2019 - 05/23/2019,"20,372","16,725","5,011","4,002","2,869","1,133","10,034","29,326,007","15,649,264","13,676,743","4,364,850","4,364,850",0,611,"1,930,700"
Week 21 2019 05/24/2019 - 05/30/2019,"19,990","16,409","5,143","4,198","3,120","1,078","9,427","28,478,761","15,048,524","13,430,237","4,128,152","4,128,152",0,602,"2,208,500"
Week 22 2019 05/31/2019 - 06/06/2019,"21,234","17,600","6,162","5,090","3,710","1,380","10,724","28,925,793","15,298,108","13,627,685","4,271,298","4,271,298",0,597,"2,412,600"
Week 23 2019 06/07/2019 - 06/13/2019,"21,028","17,337","5,938","4,954","3,698","1,256","9,792","29,097,633","15,254,009","13,843,624","4,256,510","4,256,510",0,591,"2,061,600"
Week 24 2019 06/14/2019 - 06/20/2019,"21,522","17,641","5,976","5,000","3,726","1,274","9,712","30,165,039","15,610,225","14,554,814","4,252,601","4,252,601",0,664,"2,374,200"
Week 25 2019 06/21/2019 - 06/27/2019,"20,893","17,014","5,263","4,313","3,050","1,263","9,487","30,269,905","15,725,038","14,544,867","4,345,695","4,345,695",0,638,"2,271,600"
Week 26 2019 06/28/2019 - 07/04/2019,"20,708","16,701","5,036","4,047","2,735","1,312","9,875","30,621,785","15,598,162","15,023,623","4,384,444","4,384,444",0,863,"2,608,400"
Week 27 2019 07/05/2019 - 07/11/2019,"20,866","16,832","5,279","4,305","2,970","1,335","9,732","30,580,076","15,452,898","15,127,178","4,451,000","4,451,000",0,605,"2,121,300"
Week 28 2019 07/12/2019 - 07/18/2019,"22,324","18,289","6,131","5,057","3,638","1,419","10,723","31,391,028","16,259,587","15,131,441","4,785,825","4,785,825",0,619,"2,332,800"
Week 29 2019 07/19/2019 - 07/25/2019,"23,416","19,168","6,443","5,335","3,901","1,434","11,063","32,965,248","17,037,420","15,927,828","4,906,027","4,906,027",0,"2,189","10,451,700"
Week 30 2019 07/26/2019 - 08/01/2019,"23,888","18,801","6,190","5,161","3,679","1,482","10,254","35,976,390","16,899,460","19,076,930","4,891,488","4,891,488",0,"1,871","6,835,100"
Week 31 2019 08/02/2019 - 08/08/2019,"23,784","18,980","6,369","5,354","3,864","1,490","10,135","34,910,792","16,897,416","18,013,376","4,907,848","4,907,848",0,581,"2,326,200"
Week 32 2019 08/09/2019 - 08/15/2019,"24,723","19,919","6,897","5,825","4,273","1,552","10,711","35,460,135","17,445,072","18,015,063","5,124,683","5,124,683",0,574,"2,301,200"
Week 33 2019 08/16/2019 - 08/22/2019,"25,071","20,550","7,150","6,050","4,335","1,715","10,996","34,929,194","17,974,426","16,954,768","5,481,394","5,481,394",0,557,"2,109,400"
Week 34 2019 08/23/2019 - 08/29/2019,"26,815","21,850","7,575","6,390","4,562","1,828","11,810","37,776,316","19,155,247","18,621,069","5,893,688","5,893,688",0,565,"2,000,800"
Week 35 2019 08/30/2019 - 09/05/2019,"27,266","22,175","7,612","6,252","4,154","2,098","13,606","38,675,263","19,585,081","19,090,182","5,897,084","5,897,084",0,518,"2,069,700"
Week 36 2019 09/06/2019 - 09/12/2019,"30,218","24,768","8,462","6,925","4,639","2,286","15,337","42,380,352","21,942,917","20,437,435","6,917,962","6,917,962",0,568,"2,232,700"
Week 37 2019 09/13/2019 - 09/19/2019,"33,340","27,651","9,672","8,076","5,516","2,560","15,933","45,557,238","24,222,521","21,334,717","7,649,141","7,649,141",0,526,"2,014,000"
Week 38 2019 09/20/2019 - 09/26/2019,"36,086","30,176","10,831","9,148","6,383","2,765","16,823","48,256,669","26,094,677","22,161,992","8,326,746","8,326,746",0,575,"2,297,000"
Week 39 2019 09/27/2019 - 10/03/2019,"42,889","36,359","13,576","11,615","7,918","3,697","19,544","55,262,451","30,775,624","24,486,827","10,009,673","10,009,673",0,542,"1,994,000"
Week 40 2019 10/04/2019 - 10/10/2019,"57,855","50,399","24,262","21,980","17,093","4,887","22,720","63,278,275","35,314,735","27,963,540","12,124,097","12,124,097",0,585,"1,948,300"
Week 41 2019 10/11/2019 - 10/17/2019,"71,438","61,785","30,366","27,777","22,460","5,317","25,796","78,631,936","42,434,107","36,197,829","14,944,836","14,944,836",0,565,"2,412,400"
Week 42 2019 10/18/2019 - 10/24/2019,"96,643","86,220","49,239","45,849","36,559","9,290","33,770","89,063,021","49,976,761","39,086,260","18,082,486","18,082,486",0,543,"2,228,400"
Week 43 2019 10/25/2019 - 10/31/2019,"141,278","127,895","73,544","68,730","52,654","16,076","48,060","123,257,929","73,071,322","50,186,607","26,258,730","26,258,730",0,"3,921","6,980,600"