Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
12/15/2017,"2,390,178","1,880,924","934,066","807,817","510,138","297,679","1,262,486","2,184,168,379","1,420,287,522","763,880,857","32,683,895","32,683,895",0,"546,394","2,338,164,300"
12/16/2017,"2,332,953","1,786,690","914,954","777,806","585,080","192,726","1,371,480","2,126,997,795","1,307,603,974","819,393,821","23,435,682","23,435,682",0,"580,960","2,202,608,400"
12/17/2017,"2,015,381","1,550,241","784,968","656,606","491,967","164,639","1,283,618","1,845,619,251","1,147,910,349","697,708,902","20,074,786","20,074,786",0,"569,790","1,633,743,300"
12/18/2017,"2,035,310","1,590,183","718,007","585,958","450,184","135,774","1,320,488","1,975,955,199","1,308,264,480","667,690,719","29,976,394","29,976,394",0,"561,439","2,415,980,700"
12/19/2017,"2,062,936","1,594,343","704,079","579,625","440,953","138,672","1,244,542","2,038,284,842","1,335,396,382","702,888,460","31,438,637","31,438,637",0,"557,964","2,400,067,600"
12/20/2017,"2,133,601","1,658,587","739,175","624,318","482,074","142,244","1,148,569","2,091,638,892","1,379,118,490","712,520,402","30,993,630","30,993,630",0,"555,497","2,384,046,100"
12/21/2017,"3,008,139","2,477,265","1,561,967","1,418,813","1,135,618","283,195","1,431,541","2,169,257,126","1,372,946,512","796,310,614","30,038,015","30,038,015",0,"554,199","2,384,904,500"
12/22/2017,"2,465,211","1,955,558","1,017,917","876,135","676,289","199,846","1,417,817","2,170,941,781","1,406,461,739","764,480,042","28,069,369","28,069,369",0,"557,259","2,403,701,700"
12/23/2017,"2,527,842","1,963,880","1,087,247","936,037","738,003","198,034","1,512,100","2,160,892,815","1,314,949,787","845,943,028","23,835,361","23,835,361",0,"588,137","2,225,251,700"
12/24/2017,"2,337,204","1,690,194","838,499","674,558","467,246","207,312","1,639,412","2,248,057,057","1,277,541,909","970,515,148","22,942,547","22,942,547",0,"588,863","1,703,529,200"
12/25/2017,"2,024,401","1,529,138","754,835","456,066","152,924","303,142","2,987,691","1,904,349,044","1,161,454,085","742,894,959","20,847,045","20,847,045",0,"616,924","2,805,487,300"
12/26/2017,"1,810,708","1,392,130","635,520","434,266","235,519","198,747","2,012,542","1,762,782,126","1,134,915,092","627,867,034","22,145,884","22,145,884",0,"567,589","2,462,293,700"
12/27/2017,"1,712,867","1,283,406","482,262","315,626","146,981","168,645","1,666,355","1,845,908,802","1,201,716,803","644,191,999","23,588,499","23,588,499",0,"559,305","2,412,927,500"
12/28/2017,"2,146,257","1,719,910","907,694","731,708","523,893","207,815","1,759,861","1,857,844,308","1,218,323,755","639,520,553","23,828,544","23,828,544",0,"558,057","2,409,940,800"